time,theta1,omega1,theta2,omega2,lensX,lensY
1.15,1.8726,1.8726,-2.43336,-2.43336,0.396519,3.04477
1.16,2.03298,2.03298,-2.39461,-2.39461,0.25571,3.13078
1.17,2.18812,2.18812,-2.35004,-2.35004,0.114492,3.20897
1.18,2.33772,2.33772,-2.29967,-2.29967,-0.0269088,3.27913
1.19,2.4815,2.4815,-2.24353,-2.24353,-0.168267,3.3411
1.2,2.61917,2.61917,-2.18168,-2.18168,-0.309356,3.39471
1.21,2.7505,2.7505,-2.11418,-2.11418,-0.44995,3.43985
1.22,2.87524,2.87524,-2.0411,-2.0411,-0.589824,3.47638
1.23,2.99317,2.99317,-1.96255,-1.96255,-0.728754,3.50422
1.24,3.10408,3.10408,-1.87863,-1.87863,-0.866519,3.52331
1.25,3.20778,3.20778,-1.78947,-1.78947,-1.0029,3.53359
1.26,3.3041,3.3041,-1.69519,-1.69519,-1.13767,3.53503
1.27,3.39289,3.39289,-1.59595,-1.59595,-1.27063,3.52765
1.28,3.47401,3.47401,-1.49192,-1.49192,-1.40155,3.51144
1.29,3.54733,3.54733,-1.38326,-1.38326,-1.53023,3.48646
1.3,3.61276,3.61276,-1.27018,-1.27018,-1.65646,3.45276
1.31,3.67022,3.67022,-1.15286,-1.15286,-1.78004,3.41043
1.32,3.71963,3.71963,-1.03153,-1.03153,-1.90077,3.35958
1.33,3.76096,3.76096,-0.906417,-0.906417,-2.01846,3.30033
1.34,3.79417,3.79417,-0.777751,-0.777751,-2.13293,3.23283
1.35,3.81925,3.81925,-0.645784,-0.645784,-2.24398,3.15725
1.36,3.83621,3.83621,-0.510775,-0.510775,-2.35144,3.07378
1.37,3.84508,3.84508,-0.372994,-0.372994,-2.45514,2.98263
1.38,3.84591,3.84591,-0.232718,-0.232718,-2.55491,2.88402
1.39,3.83874,3.83874,-0.0902354,-0.0902354,-2.6506,2.77821
1.4,3.82367,3.82367,0.0541591,0.0541591,-2.74204,2.66545
1.41,3.80078,3.80078,0.200163,0.200163,-2.8291,2.54602
1.42,3.7702,3.7702,0.347466,0.347466,-2.91163,2.42024
1.43,3.73204,3.73204,0.495752,0.495752,-2.9895,2.2884
1.44,3.68646,3.68646,0.644702,0.644702,-3.06259,2.15085
1.45,3.63361,3.63361,0.793988,0.793988,-3.13078,2.00792
1.46,3.57367,3.57367,0.943282,0.943282,-3.19397,1.85996
1.47,3.50683,3.50683,1.09225,1.09225,-3.25204,1.70737
1.48,3.43329,3.43329,1.24056,1.24056,-3.30491,1.5505
1.49,3.35328,3.35328,1.38787,1.38787,-3.35249,1.38976
1.5,3.26701,3.26701,1.53384,1.53384,-3.39471,1.22554
1.51,3.17474,3.17474,1.67814,1.67814,-3.4315,1.05826
1.52,3.07672,3.07672,1.82042,1.82042,-3.4628,0.888338
1.53,2.97321,2.97321,1.96036,1.96036,-3.48856,0.716193
1.54,2.86449,2.86449,2.09762,2.09762,-3.50874,0.542258
1.55,2.75084,2.75084,2.23187,2.23187,-3.52331,0.366968
1.56,2.63256,2.63256,2.36278,2.36278,-3.53224,0.190761
1.57,2.50994,2.50994,2.49003,2.49003,-3.53552,0.0140772
1.58,2.3833,2.3833,2.61331,2.61331,-3.53314,-0.162642
1.59,2.25295,2.25295,2.73231,2.73231,-3.52511,-0.338955
1.6,2.11921,2.11921,2.84671,2.84671,-3.51144,-0.51442
1.61,1.98241,1.98241,2.95624,2.95624,-3.49215,-0.6886
1.62,1.84288,1.84288,3.0606,3.0606,-3.46728,-0.861059
1.63,1.70094,1.70094,3.15951,3.15951,-3.43686,-1.03136
1.64,1.55694,1.55694,3.25271,3.25271,-3.40094,-1.19909
1.65,1.41121,1.41121,3.33995,3.33995,-3.35958,-1.36382
1.66,1.26409,1.26409,3.42098,3.42098,-3.31285,-1.52515
1.67,1.11592,1.11592,3.49556,3.49556,-3.26081,-1.68266
1.68,0.967038,0.967038,3.56348,3.56348,-3.20356,-1.83596
1.69,0.817774,0.817774,3.62453,3.62453,-3.14119,-1.98468
1.7,0.668464,0.668464,3.67852,3.67852,-3.07378,-2.12843
1.71,0.519439,0.519439,3.72528,3.72528,-3.00147,-2.26687
1.72,0.371025,0.371025,3.76463,3.76463,-2.92435,-2.39964
1.73,0.223544,0.223544,3.79643,3.79643,-2.84255,-2.52641
1.74,0.0773126,0.0773126,3.82055,3.82055,-2.7562,-2.64687
1.75,-0.0673586,-0.0673586,3.83687,3.83687,-2.66545,-2.76071
1.76,-0.210166,-0.210166,3.8453,3.8453,-2.57043,-2.86765
1.77,-0.350812,-0.350812,3.84575,3.84575,-2.4713,-2.96742
1.78,-0.48901,-0.48901,3.83817,3.83817,-2.36821,-3.05978
1.79,-0.624478,-0.624478,3.82249,3.82249,-2.26134,-3.14448
1.8,-0.756947,-0.756947,3.7987,3.7987,-2.15085,-3.22133
1.81,-0.886156,-0.886156,3.76679,3.76679,-2.03691,-3.29013
1.82,-1.01185,-1.01185,3.72675,3.72675,-1.91972,-3.3507
1.83,-1.1338,-1.1338,3.67863,3.67863,-1.79946,-3.4029
1.84,-1.25177,-1.25177,3.62245,3.62245,-1.67632,-3.44659
1.85,-1.36554,-1.36554,3.55828,3.55828,-1.5505,-3.48167
1.86,-1.47492,-1.47492,3.48621,3.48621,-1.4222,-3.50805
1.87,-1.5797,-1.5797,3.40633,3.40633,-1.29162,-3.52565
1.88,-1.67971,-1.67971,3.31875,3.31875,-1.15897,-3.53445
1.89,-1.77479,-1.77479,3.22362,3.22362,-1.02448,-3.53441
1.9,-1.86478,-1.86478,3.12108,3.12108,-0.888338,-3.52554
1.91,-1.94954,-1.94954,3.01131,3.01131,-0.750779,-3.50785
1.92,-2.02896,-2.02896,2.89448,2.89448,-0.612019,-3.4814
1.93,-2.10291,-2.10291,2.77081,2.77081,-0.472281,-3.44624
1.94,-2.1713,-2.1713,2.64052,2.64052,-0.331786,-3.40247
1.95,-2.23406,-2.23406,2.50384,2.50384,-0.190761,-3.3502
1.96,-2.29111,-2.29111,2.36102,2.36102,-0.0494309,-3.28955
1.97,-2.34241,-2.34241,2.21233,2.21233,0.0919784,-3.22068
1.98,-2.3879,-2.3879,2.05805,2.05805,0.233241,-3.14377
1.99,-2.42758,-2.42758,1.89848,1.89848,0.37413,-3.05899
2,-2.46143,-2.46143,1.73393,1.73393,0.51442,-2.96657
2.01,-2.48945,-2.48945,1.56471,1.56471,0.653888,-2.86673
2.02,-2.51167,-2.51167,1.39117,1.39117,0.792309,-2.75973
2.03,-2.52811,-2.52811,1.21365,1.21365,0.929463,-2.64582
2.04,-2.53883,-2.53883,1.0325,1.0325,1.06513,-2.52531
2.05,-2.54387,-2.54387,0.848097,0.848097,1.19909,-2.39848
2.06,-2.54332,-2.54332,0.660809,0.660809,1.33114,-2.26566
2.07,-2.53726,-2.53726,0.471022,0.471022,1.46105,-2.12718
2.08,-2.52579,-2.52579,0.279129,0.279129,1.58863,-1.98338
2.09,-2.50902,-2.50902,0.0855266,0.0855266,1.71367,-1.83462
2.1,-2.48706,-2.48706,-0.109379,-0.109379,1.83596,-1.68128
2.11,-2.46006,-2.46006,-0.30518,-0.30518,1.95532,-1.52373
2.12,-2.42815,-2.42815,-0.501462,-0.501462,2.07155,-1.36238
2.13,-2.39149,-2.39149,-0.697808,-0.697808,2.18447,-1.19762
2.14,-2.35025,-2.35025,-0.8938,-0.8938,2.29389,-1.02986
2.15,-2.30458,-2.30458,-1.08902,-1.08902,2.39964,-0.859536
2.16,-2.25469,-2.25469,-1.28304,-1.28304,2.50155,-0.68706
2.17,-2.20075,-2.20075,-1.47544,-1.47544,2.59946,-0.512867
2.18,-2.14296,-2.14296,-1.66582,-1.66582,2.69321,-0.337392
2.19,-2.08153,-2.08153,-1.85374,-1.85374,2.78266,-0.161074
2.2,-2.01667,-2.01667,-2.0388,-2.0388,2.86765,0.0156472
2.21,-1.94859,-1.94859,-2.22058,-2.22058,2.94805,0.192329
2.22,-1.87752,-1.87752,-2.3987,-2.3987,3.02374,0.36853
2.23,-1.80367,-1.80367,-2.57274,-2.57274,3.09459,0.54381
2.24,-1.72729,-1.72729,-2.74231,-2.74231,3.16049,0.717731
2.25,-1.6486,-1.6486,-2.90705,-2.90705,3.22133,0.889857
2.26,-1.56784,-1.56784,-3.06657,-3.06657,3.27702,1.05976
2.27,-1.48525,-1.48525,-3.22051,-3.22051,3.32747,1.22701
2.28,-1.40106,-1.40106,-3.36851,-3.36851,3.37259,1.3912
2.29,-1.31551,-1.31551,-3.51024,-3.51024,3.41232,1.55191
2.3,-1.22885,-1.22885,-3.64537,-3.64537,3.44659,1.70874
2.31,-1.1413,-1.1413,-3.77358,-3.77358,3.47535,1.8613
2.32,-1.05312,-1.05312,-3.89457,-3.89457,3.49855,2.00921
2.33,-0.96453,-0.96453,-4.00805,-4.00805,3.51614,2.15209
2.34,-0.875766,-0.875766,-4.11375,-4.11375,3.52812,2.2896
2.35,-0.787057,-0.787057,-4.21141,-4.21141,3.53445,2.42138
2.36,-0.698629,-0.698629,-4.30079,-4.30079,3.53512,2.54711
2.37,-0.610704,-0.610704,-4.38167,-4.38167,3.53014,2.66648
2.38,-0.523499,-0.523499,-4.45385,-4.45385,3.51952,2.77918
2.39,-0.437224,-0.437224,-4.51713,-4.51713,3.50326,2.88493
2.4,-0.352085,-0.352085,-4.57135,-4.57135,3.4814,2.98347
2.41,-0.26828,-0.26828,-4.61636,-4.61636,3.45397,3.07456
