time,theta1,omega1,theta2,omega2,lensX,lensY
6.798,-1.38229,-1.38229,1.38229,1.38229,0,-1.95485
6.831,-2.13691,-2.13691,2.13691,2.13691,0,-3.02205
6.864,-2.83593,-2.83593,2.83593,2.83593,0,-4.01061
6.897,-3.46115,-3.46115,3.46115,3.46115,0,-4.8948
6.93,-3.9963,-3.9963,3.9963,3.9963,0,-5.65163
6.963,-4.42746,-4.42746,4.42746,4.42746,0,-6.26138
6.996,-4.74341,-4.74341,4.74341,4.74341,0,-6.7082
7.029,-4.93593,-4.93593,4.93593,4.93593,0,-6.98045
7.062,-5,-5,5,5,0,-7.07106
7.095,-4.93396,-4.93396,4.93396,4.93396,0,-6.97767
7.128,-4.73952,-4.73952,4.73952,4.73952,0,-6.7027
7.161,-4.42176,-4.42176,4.42176,4.42176,0,-6.25331
7.194,-3.98893,-3.98893,3.98893,3.98893,0,-5.64119
7.227,-3.4523,-3.4523,3.4523,3.4523,0,-4.88228
7.26,-2.82583,-2.82583,2.82583,2.82583,0,-3.99633
7.293,-2.12583,-2.12583,2.12583,2.12583,0,-3.00637
7.326,-1.37051,-1.37051,1.37051,1.37051,0,-1.93819
7.359,-0.579524,-0.579524,0.579524,0.579524,0,-0.819571
7.392,0.22654,0.22654,-0.22654,-0.22654,0,0.320376
7.425,1.02671,1.02671,-1.02671,-1.02671,0,1.45199
7.458,1.80016,1.80016,-1.80016,-1.80016,0,2.54581
7.491,2.52677,2.52677,-2.52677,-2.52677,0,3.57339
7.524,3.18762,3.18762,-3.18762,-3.18762,0,4.50798
7.557,3.76553,3.76553,-3.76553,-3.76553,0,5.32527
7.59,4.24545,4.24545,-4.24545,-4.24545,0,6.00397
7.623,4.61489,4.61489,-4.61489,-4.61489,0,6.52644
7.656,4.86425,4.86425,-4.86425,-4.86425,0,6.87908
7.689,4.98702,4.98702,-4.98702,-4.98702,0,7.05271
7.722,4.98002,4.98002,-4.98002,-4.98002,0,7.04282
7.755,4.84343,4.84343,-4.84343,-4.84343,0,6.84965
7.788,4.58081,4.58081,-4.58081,-4.58081,0,6.47824
7.821,4.19898,4.19898,-4.19898,-4.19898,0,5.93825
7.854,3.70788,3.70788,-3.70788,-3.70788,0,5.24374
7.887,3.1203,3.1203,-3.1203,-3.1203,0,4.41277
7.92,2.45152,2.45152,-2.45152,-2.45152,0,3.46697
7.953,1.71894,1.71894,-1.71894,-1.71894,0,2.43095
7.986,0.941637,0.941637,-0.941637,-0.941637,0,1.33168
8.019,0.139829,0.139829,-0.139829,-0.139829,0,0.197748
8.052,-0.665618,-0.665618,0.665618,0.665618,0,-0.941327
8.085,-1.45374,-1.45374,1.45374,1.45374,0,-2.05591
8.118,-2.20404,-2.20404,2.20404,2.20404,0,-3.11699
8.151,-2.89698,-2.89698,2.89698,2.89698,0,-4.09695
8.184,-3.51454,-3.51454,3.51454,3.51454,0,-4.97031
8.217,-4.04064,-4.04064,4.04064,4.04064,0,-5.71433
8.25,-4.4616,-4.4616,4.4616,4.4616,0,-6.30965
8.283,-4.76645,-4.76645,4.76645,4.76645,0,-6.74078
8.316,-4.94727,-4.94727,4.94727,4.94727,0,-6.99649
8.349,-4.99935,-4.99935,4.99935,4.99935,0,-7.07015
8.382,-4.92134,-4.92134,4.92134,4.92134,0,-6.95982
8.415,-4.71526,-4.71526,4.71526,4.71526,0,-6.66838
8.448,-4.38648,-4.38648,4.38648,4.38648,0,-6.20342
8.481,-3.94356,-3.94356,3.94356,3.94356,0,-5.57703
8.514,-3.39801,-3.39801,3.39801,3.39801,0,-4.80551
8.547,-2.76404,-2.76404,2.76404,2.76404,0,-3.90895
8.58,-2.05815,-2.05815,2.05815,2.05815,0,-2.91066
8.613,-1.29869,-1.29869,1.29869,1.29869,0,-1.83663
8.646,-0.505447,-0.505447,0.505447,0.505447,0,-0.71481
8.679,0.300954,0.300954,-0.300954,-0.300954,0,0.425613
8.712,1.09952,1.09952,-1.09952,-1.09952,0,1.55496
8.745,1.86948,1.86948,-1.86948,-1.86948,0,2.64384
8.778,2.59079,2.59079,-2.59079,-2.59079,0,3.66393
8.811,3.24468,3.24468,-3.24468,-3.24468,0,4.58867
8.844,3.81414,3.81414,-3.81414,-3.81414,0,5.394
8.877,4.28434,4.28434,-4.28434,-4.28434,0,6.05897
8.91,4.64306,4.64306,-4.64306,-4.64306,0,6.56628
8.943,4.88095,4.88095,-4.88095,-4.88095,0,6.90271
8.976,4.99183,4.99183,-4.99183,-4.99183,0,7.05952
9.009,4.97282,4.97282,-4.97282,-4.97282,0,7.03262
9.042,4.82439,4.82439,-4.82439,-4.82439,0,6.82272
9.075,4.55043,4.55043,-4.55043,-4.55043,0,6.43528
9.108,4.15806,4.15806,-4.15806,-4.15806,0,5.88038
9.141,3.65748,3.65748,-3.65748,-3.65748,0,5.17246
9.174,3.06173,3.06173,-3.06173,-3.06173,0,4.32993
9.207,2.3863,2.3863,-2.3863,-2.3863,0,3.37474
9.24,1.64878,1.64878,-1.64878,-1.64878,0,2.33172
9.273,0.868351,0.868351,-0.868351,-0.868351,0,1.22803
9.306,0.0653269,0.0653269,-0.0653269,-0.0653269,0,0.0923862
9.339,-0.739397,-0.739397,0.739397,0.739397,0,-1.04566
9.372,-1.52488,-1.52488,1.52488,1.52488,0,-2.15651
9.405,-2.27068,-2.27068,2.27068,2.27068,0,-3.21123
9.438,-2.9574,-2.9574,2.9574,2.9574,0,-4.18239
9.471,-3.56715,-3.56715,3.56715,3.56715,0,-5.04471
9.504,-4.08408,-4.08408,4.08408,4.08408,0,-5.77577
9.537,-4.49474,-4.49474,4.49474,4.49474,0,-6.35652
9.57,-4.78843,-4.78843,4.78843,4.78843,0,-6.77186
9.603,-4.95751,-4.95751,4.95751,4.95751,0,-7.01098
9.636,-4.99759,-4.99759,4.99759,4.99759,0,-7.06766
9.669,-4.90762,-4.90762,4.90762,4.90762,0,-6.94043
